target_population_pct,targeted_customers,score_threshold,observed_churn_rate_targeted,lift_vs_portfolio,churn_capture_rate,profit_adjusted_clv_targeted,future_churned_clv_proxy_captured,future_churned_clv_capture_rate,avg_profit_adjusted_clv_targeted
0.01,2427,0.9984896432444188,1.0,11.118541590326126,0.11116709417369,18159901.749166667,18159901.749166667,0.5224883565105553,7482.448186718858
0.05,12137,0.8830398547150561,0.9782483315481585,10.876694759985341,0.5438347379992672,29117175.3275,28966106.52,0.8333995194020791,2399.042212037571
0.1,24274,0.12336634117433946,0.7966960533904589,8.858098204470501,0.8858098204470503,36151142.96083333,32047268.207500003,0.9220492890143537,1489.2948406044877
0.15,36411,0.07946289078358161,0.5591442146604049,6.216868205691951,0.9325302308537926,48534603.20583334,33120820.947499998,0.9529370556167109,1332.9654007259712
0.2,48548,0.025146428736658098,0.43070775315152016,4.788842066691095,0.9577684133382192,61578605.74666667,33693906.24166667,0.9694256026157746,1268.4066438713576
0.3,72822,0.011209453645709322,0.2921919200241685,3.2487480151459627,0.974624404543789,90534469.46916668,34113238.32583333,0.9814904328397838,1243.2296485837614
0.4,97096,0.008910209845190144,0.22143033698607564,2.4619824111396116,0.9847929644558446,120900088.22666669,34389427.71333333,0.9894368271074265,1245.1603384966083
0.5,121370,0.006770470440485838,0.17871796984427782,1.9870831806522533,0.9935415903261268,146484083.24333337,34591737.02833333,0.9952575778450221,1206.9216712806572
