save_priority_tier,customers,avg_save_worthiness_score,avg_predicted_churn_probability,actual_future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,gross_value_at_risk_proxy,expected_saved_clv_proxy,intervention_cost_proxy,net_save_value_proxy,paid_offer_customers,roi_proxy
Tier 2 - Premium save priority,2857,97.00151184276835,0.9976663017178722,0.9992999649982499,31872043.439166665,31840450.839166667,31790211.656336244,4450629.631887075,51426.0,4399203.631887075,2857,85.54434783741831
Tier 3 - Targeted save priority,3572,92.50167982529817,0.990914433205574,0.9907614781634938,28566516.34416667,28208302.492500003,28241430.210630324,3953800.229488245,64296.0,3889504.229488245,3572,60.49372013015188
Tier 4 - Test-and-learn save pool,7144,85.00125986897363,0.9865853553161686,0.9881019036954087,27828868.36166667,27266584.269166667,27294347.656665985,3821208.671933238,128592.0,3692616.671933238,7144,28.715757371634613
Positive ROI monitor pool,57150,40.000139985441514,0.47771629763706586,0.48225721784776904,65219580.18333334,27312793.018333334,27076197.052078784,3020911.342713579,534117.75,2486793.592713579,57150,4.655890190343944
Tier 1 - Executive save priority,714,99.50095190100231,0.994136195287843,0.9985994397759104,9878135.1825,9865157.8025,9811850.551512988,1373659.0772118184,12852.0,1360807.0772118184,714,105.8829036112526
Suppressed from paid retention,38881,0.0,0.7860074261651686,0.789100074586559,0.0,0.0,0.0,0.0,0.0,0.0,0,
Relationship protection only,22452,0.0,0.0024388240507749385,0.0002672367717797969,26035681.880000003,6847.295000000001,63466.60078801756,634.6660078801756,5613.0,-4978.333992119824,0,-0.886929269930487
Not targeted,838190,0.0,0.018200756786489348,0.01779548789653897,784960220.8283334,13198013.963333335,13616582.85229631,309399.96750700317,667362.0,-357962.03249299683,0,-0.5363836006440236
