suppression_reason,customers,avg_predicted_churn_probability,actual_future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,gross_value_at_risk_proxy,expected_saved_clv_proxy,intervention_cost_proxy,net_save_value_proxy
Monitor only before ROI testing,722108,0.015470902996542676,0.014986677893057548,652211130.8375001,9043855.134166667,9441086.868477715,0.0,0.0,0.0
Expected save value does not clear intervention cost,138534,0.02987559723553833,0.029595622735213017,158784771.87083334,4161006.124166667,4238962.584606612,310034.63351488335,672975.0,-362940.36648511665
Not suppressed,71437,0.5802223555187203,0.5841090751291348,163365143.51083332,124493288.42166667,124214037.12722433,16620208.953233955,791283.75,15828925.203233955
No positive CLV proxy,38881,0.7860074261651686,0.789100074586559,0.0,0.0,0.0,0.0,0.0,0.0
