scenario_name,recovery_rate,portfolio_future_churned_clv_proxy,recoverable_portfolio_clv_proxy,premium_budget_future_churned_clv_proxy,recoverable_premium_budget_clv_proxy,premium_plus_moderate_future_churned_clv_proxy,recoverable_premium_plus_moderate_clv_proxy
Conservative recovery,0.05,137394801.75416672,6869740.087708336,120391726.80166677,6019586.340083338,127940898.5941666,6397044.929708331
Base recovery,0.1,137394801.75416672,13739480.175416673,120391726.80166677,12039172.680166677,127940898.5941666,12794089.859416662
Aggressive recovery,0.15,137394801.75416672,20609220.263125006,120391726.80166677,18058759.020250015,127940898.5941666,19191134.78912499
