budget_cap,targeted_customers,campaign_cost_proxy,expected_saved_clv_proxy,net_save_value_proxy,roi_proxy,budget_utilization,marginal_readout,incremental_customers,incremental_net_value
100000,5555,99990.0,8313944.850266315,8213954.850266315,82.14776327899105,0.9999,Budget frontier point ranked by save-worthiness.,5555.0,8213954.850266315
250000,13888,249984.0,13457232.569055812,13207248.569055812,52.83237554825834,0.999936,Budget frontier point ranked by save-worthiness.,8333.0,4993293.718789497
500000,27971,499983.0,15719173.10603341,15219190.10603341,30.439415152181997,0.999966,Budget frontier point ranked by save-worthiness.,14083.0,2011941.5369775984
750000,62836,749994.0,16576587.58890995,15826593.58890995,21.102293603562096,0.999992,Budget frontier point ranked by save-worthiness.,34865.0,607403.4828765392
1000000,71437,791283.75,16620208.953233957,15828925.203233957,20.004107506610566,0.79128375,Budget frontier point ranked by save-worthiness.,8601.0,2331.6143240071833
1500000,71437,791283.75,16620208.953233957,15828925.203233957,20.004107506610566,0.5275225,Budget frontier point ranked by save-worthiness.,0.0,0.0
2000000,71437,791283.75,16620208.953233957,15828925.203233957,20.004107506610566,0.395641875,Budget frontier point ranked by save-worthiness.,0.0,0.0
